d,adf_stat,p_val,corr_with_orig,memory_lost,weight_len,n_obs,is_stationary
0.0,-0.5255858614082048,0.886926141623027,0.9999999999999998,2.220446049250313e-16,1,1154,False
0.01,-0.5903554741663037,0.8731464362516583,0.9999657253936888,3.4274606311224254e-05,95,1060,False
0.02,-0.8017872303622338,0.8185965184197965,0.999794281423934,0.00020571857606599409,179,976,False
0.03,-0.9629730339914941,0.7665284285915696,0.9994163207488909,0.0005836792511091371,250,905,False
0.04,-0.7771963478923108,0.8257288746514002,0.9989800962727137,0.001019903727286331,311,844,False
0.05,-0.5547605319484259,0.8808801999652575,0.9985583715790829,0.001441628420917107,362,793,False
0.06,-0.8988423841002079,0.7883533981527943,0.9978674073372256,0.002132592662774435,404,751,False
0.07,-0.9860999765450201,0.7583001950118533,0.99692837497179,0.003071625028210012,438,717,False
0.08,-1.1759482464992304,0.6838556651677911,0.995654033638951,0.004345966361049003,465,690,False
0.09,-1.669625055559943,0.44682657072007165,0.9940567509909117,0.0059432490090882695,487,668,False
0.1,-1.9949504182203899,0.2887915445219131,0.9919998340013355,0.008000165998664488,503,652,False
0.11,-1.8802415901722078,0.34141240918823856,0.98934185209163,0.010658147908370053,515,640,False
0.12,-2.0515071860020964,0.2644552195318985,0.9863698481644851,0.013630151835514859,522,633,False
0.13,-1.987790705610916,0.2919519742778367,0.9829341810746482,0.01706581892535175,527,628,False
0.14,-1.9473942832173285,0.3101040597622804,0.979386298557731,0.02061370144226904,528,627,False
0.15,-2.130630317594332,0.2323776615079955,0.9756844599924421,0.024315540007557868,527,628,False
0.16,-2.328164609771858,0.1630451345388363,0.9719399439024878,0.028060056097512165,524,631,False
0.17,-2.4708526271464075,0.12272820295010495,0.9682546174342642,0.03174538256573578,519,636,False
0.18,-2.2393459327232055,0.19227620832303216,0.9644846442809217,0.03551535571907827,513,642,False
0.19,-2.3059004915701546,0.17007200711178622,0.9608186980519948,0.039181301948005176,506,649,False
0.2,-2.616396784795132,0.08965551763733576,0.9572579751672785,0.04274202483272149,497,658,False
0.21,-2.444308246135734,0.1296191171093684,0.9535701911489937,0.04642980885100634,488,667,False
0.22,-2.5914158720170684,0.09478444290791782,0.9494072432328247,0.05059275676717534,478,677,False
0.23,-2.108074309578374,0.24128030067995082,0.9450565191482346,0.05494348085176537,467,688,False
0.24,-2.2854977449491214,0.17668790433553266,0.9405753170462089,0.05942468295379111,456,699,False
0.25,-2.1589084094299267,0.22149576069792198,0.9353335673710248,0.0646664326289752,445,710,False
0.26,-2.216742917784015,0.20022495850068517,0.9297760625237641,0.0702239374762359,434,721,False
0.27,-2.3432793705878106,0.15838905144045806,0.9243853718322079,0.07561462816779208,422,733,False
0.28,-2.3049254525596234,0.17038433570104272,0.918005766639614,0.08199423336038603,411,744,False
0.29,-2.3417673894026025,0.15885065924773623,0.9108546082764403,0.08914539172355973,399,756,False
0.3,-2.438324650723801,0.13121035939179398,0.9030628522865043,0.09693714771349571,388,767,False
0.31,-2.5105625330812176,0.11292545298066803,0.8948967346644967,0.1051032653355033,376,779,False
0.32,-2.575746648955249,0.09811425951594543,0.8856240481850437,0.1143759518149563,365,790,False
0.33,-2.82178649511566,0.05522848119407283,0.8707296550254485,0.12927034497455148,354,801,False
0.34,-2.8630796039558293,0.049812871946598655,0.8569609753933384,0.14303902460666162,343,812,True
0.35,-2.9825058954300867,0.03656074266258401,0.8413948292451472,0.1586051707548528,332,823,True
0.36,-3.128875702704668,0.02448875551077372,0.8293244244265026,0.17067557557349744,322,833,True
0.37,-3.3022558123491557,0.014777940247618243,0.8174847024146995,0.1825152975853005,311,844,True
0.38,-3.416764612475717,0.010400471713004726,0.8039503078813306,0.1960496921186694,301,854,True
0.39,-3.5214249833649887,0.007453605084945426,0.7913446742078827,0.20865532579211732,292,863,True
0.4,-3.692736157671853,0.004216494479023701,0.7782402963087454,0.22175970369125464,282,873,True
0.41,-3.8126064303837124,0.0027809364407465303,0.7605750403669087,0.2394249596330913,273,882,True
0.42,-3.9937258919136487,0.0014437230021458803,0.7397498533087509,0.26025014669124913,264,891,True
0.43,-4.127457059639706,0.0008721167488511111,0.7190835976056135,0.28091640239438653,255,900,True
0.44,-4.124752152848148,0.0008811989815725435,0.7061812129087985,0.29381878709120146,247,908,True
0.45,-4.456140537316147,0.00023581270367409535,0.6864636252339115,0.31353637476608853,238,917,True
0.46,-4.630055433321971,0.00011365850517156296,0.6695802774841272,0.3304197225158728,230,925,True
0.47,-5.04878752556569,1.7753451896253593e-05,0.6600059080320216,0.33999409196797836,222,933,True
0.48,-4.935070940825457,2.9787789314573054e-05,0.6471187624057521,0.35288123759424794,215,940,True
0.49,-5.0974180137868155,1.4187558761160118e-05,0.6347469271540186,0.3652530728459814,208,947,True
0.5,-5.2248958176221505,7.819371651577481e-06,0.6228903774742669,0.3771096225257331,200,955,True
0.51,-5.01930352540247,2.032149444749694e-05,0.6043727187723066,0.3956272812276934,194,961,True
0.52,-5.555546990557046,1.5839992106954713e-06,0.589754381632794,0.41024561836720597,187,968,True
0.53,-5.406996808415194,3.2744529433240005e-06,0.5753648853754775,0.4246351146245225,180,975,True
0.54,-5.558785639435545,1.5588757629241116e-06,0.5632049911984741,0.4367950088015259,174,981,True
0.55,-5.7234872736011715,6.855433821915222e-07,0.5498178921790013,0.45018210782099866,168,987,True
0.56,-5.769189326868685,5.442416878751038e-07,0.5351154518914929,0.4648845481085071,162,993,True
0.57,-5.948442911689743,2.1759108376125807e-07,0.5142907826840855,0.48570921731591454,156,999,True
0.58,-6.089689901641351,1.0436992096543079e-07,0.4943753106002493,0.5056246893997507,151,1004,True
0.59,-6.269356399941838,4.039845627838217e-08,0.47530248971693023,0.5246975102830698,146,1009,True
0.6,-6.864874125643822,1.5684128920762035e-09,0.46166098870950634,0.5383390112904937,140,1015,True
0.61,-7.029257361933404,6.246815586014424e-10,0.44668047931945554,0.5533195206805445,135,1020,True
0.62,-7.206484943061586,2.2931110282886443e-10,0.4283476941384068,0.5716523058615932,131,1024,True
0.63,-7.382280465257633,8.411372924358465e-11,0.4132240168661309,0.586775983133869,126,1029,True
0.64,-7.540902637552644,3.380305453275209e-11,0.39704833665270683,0.6029516633472931,121,1034,True
0.65,-7.7279115123254405,1.1458428589700475e-11,0.38421132850186057,0.6157886714981394,117,1038,True
0.66,-7.954223442562073,3.0679119157724795e-12,0.3729148120980387,0.6270851879019613,113,1042,True
0.67,-8.079510143238318,1.474349392322036e-12,0.35968652240496274,0.6403134775950372,108,1047,True
0.68,-8.233991983798154,5.957872773036839e-13,0.34851461136002365,0.6514853886399763,104,1051,True
0.69,-8.44478227292787,1.72452983771954e-13,0.33464431200601075,0.6653556879939893,101,1054,True
0.7,-8.640800366928781,5.432895897773543e-14,0.3184991331445739,0.6815008668554261,97,1058,True
0.71,-8.835756631618247,1.721011452647379e-14,0.305455928245654,0.6945440717543461,93,1062,True
0.72,-8.96530701131652,8.019052770897942e-15,0.29114242783457134,0.7088575721654287,89,1066,True
0.73,-9.166225577133888,2.4565856286247925e-15,0.2783337069973973,0.7216662930026028,86,1069,True
0.74,-9.30919073686662,1.0603525893901213e-15,0.26720500980664663,0.7327949901933534,83,1072,True
0.75,-9.512760717869039,3.216403125180962e-16,0.2573806969134909,0.7426193030865091,79,1076,True
0.76,-9.66623920111839,1.3129336309749385e-16,0.24535238906213447,0.7546476109378655,76,1079,True
0.77,-9.849168527073818,4.533983798290782e-17,0.2314333674086172,0.7685666325913828,73,1082,True
