LOG_TIME,ACTION,BY,SYMBOL,TIMEFRAME,TCST,TCET
2026-07-28 17:59:17,File Creation,Khaetneth,,,,
2026-07-28 17:59:17,Add Data,Khaetneth,EURUSD,D1,2021-01-04 00:00:00,2022-12-30 00:00:00
2026-08-10 02:17:54,File Creation,Unknown,,,,
2026-08-10 02:17:54,Add Data,Unknown,EURUSD,MN1,2017-01-01 00:00:00,2017-12-01 00:00:00
2026-08-10 18:07:18,Add Data,Unknown,EURUSD,W1,2016-12-25 00:00:00,2017-12-17 00:00:00
2026-08-10 18:08:00,Add Data,Unknown,EURUSD,D1,2016-12-21 00:00:00,2017-12-21 00:00:00
2026-08-10 18:22:51,Volume Bar Transformation,Unknown,EURUSD,D1,2016-12-21 00:00:00,2017-12-21 00:00:00
2026-08-10 18:22:52,Volume Bar Transformation,Unknown,EURUSD,MN1,2017-01-01 00:00:00,2017-12-01 00:00:00
2026-08-10 18:22:54,Volume Bar Transformation,Unknown,EURUSD,W1,2016-12-25 00:00:00,2017-12-17 00:00:00
2026-08-10 18:31:10,Volatility-Normalized Bar Creation,Unknown,EURUSD,D1,2016-12-21 00:00:00,2017-12-21 00:00:00
2026-08-10 18:31:11,Volatility-Normalized Bar Creation,Unknown,EURUSD,MN1,2017-01-01 00:00:00,2017-12-01 00:00:00
2026-08-10 18:31:13,Volatility-Normalized Bar Creation,Unknown,EURUSD,W1,2016-12-25 00:00:00,2017-12-17 00:00:00
2026-08-10 18:35:28,Volatility-Sampled Bar Creation,Unknown,EURUSD,D1,2016-12-21 00:00:00,2017-12-21 00:00:00
2026-08-10 19:12:46,Vol-Std Volume Bar Transformation & Plotting,Unknown,EURUSD,D1,2016-12-21 00:00:00,2017-12-21 00:00:00
2026-08-10 19:18:05,Add Data,Unknown,EURUSD,M30,2020-12-21 00:00:00,2021-12-21 00:00:00
2026-08-10 19:19:56,Vol-Std Volume Bar Transformation & Plotting,Unknown,EURUSD,M30,2020-12-21 00:00:00,2021-12-21 00:00:00
2026-08-10 19:23:10,Vol-Std Volume Bar Transformation & Plotting,Unknown,EURUSD,M30,2020-12-21 00:00:00,2021-12-21 00:00:00
2026-08-10 20:25:03,Fractional Differencing FFD Search (d*=0.34),Unknown,EURUSD,M30,2020-12-21 04:30:00,2021-12-20 17:30:00
2026-08-10 20:25:09,Fractional Differencing FFD Search (d*=0.34),Unknown,EURUSD,M30,2020-12-21 04:30:00,2021-12-20 17:30:00
